072203.3~641e64: 17580 records, 28.4 min, game type 3, 4 names
072303.1~ef9a69: 15373 records, 15.3 min, game type 3, 2 names
073003.1~4ff8dc: 106352 records, 91.6 min, game type 3, 4 names
121303.1~4ad85e: 17101 records, 16.9 min, game type 2, 2 names
121803.1~e28e09: 29900 records, 40.3 min, game type 3, 3 names
121803.2~87df58: 28518 records, 37.1 min, game type 3, 2 names
121803.3~694558: 21643 records, 30.2 min, game type 3, 3 names
121803.4~851ed5: 11776 records, 15.8 min, game type 3, 4 names
122903.1~4ec676: 13818 records, 16.3 min, game type 3, 2 names
122903.2~514b8d: 5254 records, 6.6 min, game type 3, 2 names
122903.3~524d14: 11824 records, 13.7 min, game type 3, 2 names
122903.4~877193: 5038 records, 5.0 min, game type 3, 4 names
122903.5~91bc6b: 33144 records, 35.3 min, game type 3, 4 names
010604.1~97ef03: 42242 records, 20.1 min, game type 3, 4 names
010904.1~fd1aa7: 22563 records, 25.8 min, game type 3, 2 names
011504.1~d90b6f: 20872 records, 35.2 min, game type 3, 4 names
030204.3~8d49e3: 54855 records, 74.9 min, game type 3, 4 names
030404.6~c4401c: 20130 records, 20.7 min, game type 3, 4 names
031504.1~c155a1: 12277 records, 6.2 min, game type 3, 4 names
031704.1~562e57: 17596 records, 21.7 min, game type 3, 4 names
031904.3~2c847d: 2999 records, 5.4 min, game type 3, 4 names
032204.2~c10759: 175603 records, 84.6 min, game type 3, 4 names
032304.1~d712a8: 27214 records, 15.1 min, game type 3, 4 names
032404.4~c17588: 89160 records, 47.4 min, game type 3, 4 names
032504.1~7668dc: 7865 records, 9.6 min, game type 3, 4 names
032504.2~066b3b: 45734 records, 22.9 min, game type 3, 4 names
033104.1~a0cb03: 21556 records, 21.7 min, game type 3, 4 names
033104.3~0d5645: 25989 records, 15.2 min, game type 3, 4 names
033104.4~31ff55: 22759 records, 19.2 min, game type 3, 4 names
040104.1~d40bb3: 27521 records, 24.8 min, game type 3, 4 names
042104.3~2c4ce8: 54557 records, 29.9 min, game type 3, 4 names
042304.2~ccc16a: 25295 records, 22.1 min, game type 3, 4 names
042304.4~cb1d5d: 58339 records, 42.7 min, game type 3, 4 names
050304.1~8c3ee4: 15636 records, 19.4 min, game type 3, 4 names
050304.2~039aa2: 30597 records, 33.7 min, game type 3, 4 names
050604.1~4d1054: 37708 records, 49.4 min, game type 3, 4 names
051704.1~04bff9: 98175 records, 55.3 min, game type 3, 4 names
052004.1~64ffde: 43627 records, 24.5 min, game type 3, 4 names
052004.2~bb527c: 15514 records, 18.5 min, game type 3, 4 names
052004.3~11d91a: 9144 records, 10.5 min, game type 3, 4 names
052504.1~113354: 12478 records, 11.6 min, game type 3, 4 names
060104.1~929634: 81867 records, 82.5 min, game type 3, 4 names
060704.1~474a65: 24675 records, 22.6 min, game type 3, 4 names
070104.1~2652b0: 40635 records, 37.7 min, game type 3, 4 names
070804.1~9ed592: 39891 records, 22.5 min, game type 3, 4 names
071204.1~db21ea: 39265 records, 27.4 min, game type 3, 4 names
072104.1~2bb59a: 10132 records, 10.9 min, game type 3, 2 names
072104.2~0cfe0a: 42729 records, 44.1 min, game type 3, 2 names
072604.1~6844e9: 48931 records, 46.3 min, game type 3, 4 names
072604.1~6b6af2: 48146 records, 50.6 min, game type 3, 4 names
072704.1~53e5c2: 60827 records, 51.6 min, game type 3, 4 names
072704.2~7b05fa: 9296 records, 11.2 min, game type 3, 4 names
072704.3~08cd4d: 14964 records, 22.2 min, game type 3, 4 names
072704.4~cc3546: 20662 records, 23.3 min, game type 3, 4 names
072904.1~7037d4: 29225 records, 20.0 min, game type 3, 4 names
072904.2~8e8496: 37485 records, 26.1 min, game type 3, 4 names
072904.3~90f441: 57695 records, 39.6 min, game type 3, 4 names
080304.1~cf0994: 30187 records, 31.9 min, game type 3, 4 names
080304.2~41c85e: 5292 records, 7.3 min, game type 3, 4 names
080304.3~e69ea8: 23515 records, 25.3 min, game type 3, 2 names
080304.4~a6f681: 33855 records, 35.9 min, game type 3, 2 names
080404.1~aa5f29: 9813 records, 10.6 min, game type 3, 4 names
080404.6~dd6f8b: 56176 records, 44.9 min, game type 3, 4 names
080504.1~8effcc: 98422 records, 106.3 min, game type 3, 2 names
080904.1~c7c9c1: 16265 records, 18.4 min, game type 3, 2 names
080904.2~68d5a2: 17429 records, 19.9 min, game type 3, 2 names
080904.3~47cbe4: 32908 records, 33.8 min, game type 3, 2 names
081104.1~bfd21e: 17191 records, 16.4 min, game type 3, 4 names
081104.2~cfd06b: 37751 records, 43.1 min, game type 3, 4 names
081204.1~b0e402: 25725 records, 26.4 min, game type 3, 4 names
081204.2~ed52d8: 12739 records, 9.1 min, game type 3, 4 names
081204.3~799a28: 79567 records, 49.5 min, game type 3, 4 names
081204.4~cdbaa4: 15392 records, 11.5 min, game type 3, 4 names
081204.5~edc835: 34836 records, 24.0 min, game type 3, 4 names
081204.6~cc1f5d: 27762 records, 18.5 min, game type 3, 4 names
081204.7~2dd058: 7546 records, 6.5 min, game type 3, 4 names
081204.8~56f99c: 17018 records, 12.2 min, game type 3, 4 names
081804.1~215ac4: 8369 records, 10.4 min, game type 3, 2 names
081804.2~b43725: 21440 records, 27.0 min, game type 3, 2 names
082004.1~18de86: 18242 records, 17.7 min, game type 3, 4 names
082304.1~830005: 12610 records, 18.8 min, game type 3, 2 names
082304.2~37977b: 24669 records, 26.6 min, game type 3, 2 names
082304.3~810c35: 21746 records, 22.8 min, game type 3, 2 names
082404.1~a6ac35: 33515 records, 35.0 min, game type 3, 2 names
082404.2~661a6b: 11396 records, 12.1 min, game type 3, 2 names
082504.1~11db5b: 33451 records, 36.6 min, game type 3, 2 names
082504.2~930542: 24674 records, 27.3 min, game type 3, 2 names
082504.3~8c4e77: 25261 records, 27.6 min, game type 3, 2 names
082504.4~37bc77: 31018 records, 35.0 min, game type 3, 2 names
082504.5~d7918a: 51074 records, 53.6 min, game type 3, 2 names
082704.1~3b6263: 47101 records, 56.9 min, game type 3, 2 names
082704.10~a59fd2: 27408 records, 30.1 min, game type 3, 2 names
082704.11~912305: 17792 records, 18.9 min, game type 3, 2 names
082704.12~018269: 35850 records, 39.6 min, game type 3, 2 names
082704.2~085189: 15250 records, 17.1 min, game type 3, 2 names
082704.3~fa4a39: 20702 records, 24.4 min, game type 3, 2 names
082704.4~ff9253: 11718 records, 13.0 min, game type 3, 2 names
082704.5~92ec93: 7866 records, 8.8 min, game type 3, 2 names
082704.6~75cac8: 21676 records, 22.8 min, game type 3, 2 names
082704.7~153c75: 15940 records, 19.7 min, game type 3, 2 names
082704.8~ac242f: 7532 records, 8.4 min, game type 3, 2 names
082704.9~a9dc7d: 10736 records, 11.7 min, game type 3, 2 names
083004.1~18b16c: 41941 records, 30.1 min, game type 3, 4 names
083104.1~ab9185: 8275 records, 9.6 min, game type 3, 4 names
090704.2~9cee14: 34056 records, 26.5 min, game type 3, 4 names
090704.3~3f9101: 30394 records, 23.2 min, game type 3, 4 names
091004.1~284f1d: 154727 records, 84.9 min, game type 3, 4 names
091304.1~a3509b: 12797 records, 6.8 min, game type 3, 4 names
091304.2~b0e98b: 20250 records, 12.6 min, game type 3, 4 names
091304.3~cf8054: 16806 records, 11.9 min, game type 3, 4 names
091304.4~ac7c78: 36082 records, 30.7 min, game type 3, 4 names
101404~8109d4: 75863 records, 56.9 min, game type 3, 6 names
101404.5~cef83e: 6509 records, 5.9 min, game type 3, 4 names
101404.6~63cb48: 43019 records, 30.6 min, game type 3, 6 names
120304.1~0bb561: 56606 records, 42.3 min, game type 3, 4 names
120604.1~f6c76c: 7554 records, 5.8 min, game type 3, 4 names
120604.2~0d6241: 28884 records, 18.7 min, game type 3, 4 names
121404.2~052168: 19819 records, 22.7 min, game type 3, 2 names
121404.4~c15845: 21549 records, 25.6 min, game type 3, 2 names
